benchmark                                                                                      old ns/op       new ns/op       delta
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-fast-10                                   395125180       331378927       -16.13%
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-slow-10                                   9026810333      7916590416      -12.30%
BenchmarkLarge/goleveldb-1000000-100-16-40/update-10                                           197699          132987          -32.73%
BenchmarkLarge/goleveldb-1000000-100-16-40/block-10                                            26131244        19247959        -26.34%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        1630            1588            -2.58%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        6328            5808            -8.22%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        140             111             -20.27%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        9096            8355            -8.15%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         18680928        17872140        -4.33%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         378179583       322385729       -14.75%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 110920          92055           -17.01%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  13115685        11123925        -15.19%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       4076            4065            -0.27%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       7520            7369            -2.01%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       182             115             -36.89%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       11008           10425           -5.30%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        73044968        65800471        -9.92%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        498060527       414471361       -16.78%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                141077          105030          -25.55%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 22741074        18405767        -19.06%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      12165           11920           -2.01%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      16323           16937           +3.76%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      158             115             -27.06%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      23266           22139           -4.84%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       347536847       313261198       -9.86%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       1034055750      970815416       -6.12%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               1501367         1391895         -7.29%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                1726603583      211009389       -87.78%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     461975          347643          -24.75%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     920743          1446543         +57.11%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     120             192             +60.20%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     822983          979780          +19.05%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      16074722584     18797445000     +16.94%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      18000164084     13002349583     -27.77%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              4805438         3422872         -28.77%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               1873226750      682960854       -63.54%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-fast-10         1681            1675            -0.36%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-slow-10         7994            6662            -16.66%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-fast-10                         283             242             -14.63%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-slow-10                         11547           9399            -18.60%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-fast-10                          31840510        29572179        -7.12%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-slow-10                          931389208       706826062       -24.11%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/update-10                                  224944          190089          -15.49%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/block-10                                   1303220         1137143         -12.74%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-fast-10        1695            1538            -9.26%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-slow-10        8021            6857            -14.51%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-fast-10                        290             258             -10.87%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-slow-10                        11336           9508            -16.13%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-fast-10                         31765362        29040991        -8.58%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-slow-10                         880855396       710318542       -19.36%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/update-10                                 146305          109452          -25.19%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/block-10                                  4637385         3289686         -29.06%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-fast-10       1820            1529            -15.99%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-slow-10       8216            6662            -18.91%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-fast-10                       266             265             -0.49%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-slow-10                       11575           9329            -19.40%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-fast-10                        29997766        29616151        -1.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-slow-10                        857937604       682996854       -20.39%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/update-10                                104631          84240           -19.49%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/block-10                                 14553221        11449031        -21.33%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-fast-10       1584            1589            +0.32%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-slow-10       7474            7035            -5.87%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-fast-10                       247             279             +12.81%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-slow-10                       10234           9456            -7.60%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-fast-10                        27723103        28630798        +3.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-slow-10                        819935480       690318437       -15.81%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/update-10                                110283          86133           -21.90%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/block-10                                 54311845        40756400        -24.96%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-fast-10      1521            1566            +2.96%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-slow-10      7269            6473            -10.95%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-fast-10                      251             258             +2.99%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-slow-10                      10345           9588            -7.32%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-fast-10                       28177346        26953460        -4.34%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-slow-10                       866217771       683919354       -21.05%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/update-10                               69671           53934           -22.59%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/block-10                                282998867       181316030       -35.93%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        1710            1651            -3.45%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        6777            6094            -10.08%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        181             150             -17.10%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        9400            8444            -10.17%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         18730276        18272697        -2.44%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         376882611       334540264       -11.23%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 112408          85461           -23.97%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  13521372        10742960        -20.55%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       4023            4058            +0.87%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       7700            7381            -4.14%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       148             122             -17.53%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       10692           10687           -0.05%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        70225862        68232681        -2.84%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        479833347       431569750       -10.06%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                140670          106036          -24.62%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 23186231        18992842        -18.09%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      12648           11506           -9.03%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      17079           17614           +3.13%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      193             153             -21.06%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      22861           21954           -3.97%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       328357917       313237438       -4.60%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       1020130042      985125125       -3.43%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               1445060         1060991         -26.58%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                201821255       174498934       -13.54%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     513671          342588          -33.31%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     1617012         1212025         -25.05%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     192             228             +19.04%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     1134171         1073605         -5.34%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      16518355167     30003711000     +81.64%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      19549626333     13321082583     -31.86%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              6253561         4135527         -33.87%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               1768818500      1156744250      -34.60%

benchmark                                                                                      old allocs     new allocs     delta
BenchmarkSmall/memdb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                          3              3              +0.00%
BenchmarkSmall/memdb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                          7              14             +100.00%
BenchmarkSmall/memdb-1000-100-4-10/query-hits-fast-10                                          0              0              +0.00%
BenchmarkSmall/memdb-1000-100-4-10/query-hits-slow-10                                          10             20             +100.00%
BenchmarkSmall/memdb-1000-100-4-10/iteration-fast-10                                           3933           3933           +0.00%
BenchmarkSmall/memdb-1000-100-4-10/iteration-slow-10                                           13849          27459          +98.27%
BenchmarkSmall/memdb-1000-100-4-10/update-10                                                   175            231            +32.00%
BenchmarkSmall/memdb-1000-100-4-10/block-10                                                    35174          49318          +40.21%
BenchmarkSmall/goleveldb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                      6              6              +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                      11             19             +72.73%
BenchmarkSmall/goleveldb-1000-100-4-10/query-hits-fast-10                                      0              0              +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/query-hits-slow-10                                      16             26             +62.50%
BenchmarkSmall/goleveldb-1000-100-4-10/iteration-fast-10                                       4997           4997           +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/iteration-slow-10                                       21740          35367          +62.68%
BenchmarkSmall/goleveldb-1000-100-4-10/update-10                                               173            229            +32.37%
BenchmarkSmall/goleveldb-1000-100-4-10/block-10                                                40594          54795          +34.98%
BenchmarkSmall/pebbledb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                       3              3              +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                       8              16             +100.00%
BenchmarkSmall/pebbledb-1000-100-4-10/query-hits-fast-10                                       0              0              +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/query-hits-slow-10                                       12             22             +83.33%
BenchmarkSmall/pebbledb-1000-100-4-10/iteration-fast-10                                        4997           4997           +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/iteration-slow-10                                        15842          29461          +85.97%
BenchmarkSmall/pebbledb-1000-100-4-10/update-10                                                161            216            +34.16%
BenchmarkSmall/pebbledb-1000-100-4-10/block-10                                                 31993          46341          +44.85%
BenchmarkMedium/memdb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                      3              3              +0.00%
BenchmarkMedium/memdb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                      7              15             +114.29%
BenchmarkMedium/memdb-100000-100-16-40/query-hits-fast-10                                      0              0              +0.00%
BenchmarkMedium/memdb-100000-100-16-40/query-hits-slow-10                                      10             21             +110.00%
BenchmarkMedium/memdb-100000-100-16-40/iteration-fast-10                                       399935         399938         +0.00%
BenchmarkMedium/memdb-100000-100-16-40/iteration-slow-10                                       1399843        2799444        +99.98%
BenchmarkMedium/memdb-100000-100-16-40/update-10                                               333            459            +37.84%
BenchmarkMedium/memdb-100000-100-16-40/block-10                                                40337          53943          +33.73%
BenchmarkMedium/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                  15             15             +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                  23             29             +26.09%
BenchmarkMedium/goleveldb-100000-100-16-40/query-hits-fast-10                                  0              0              +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/query-hits-slow-10                                  33             42             +27.27%
BenchmarkMedium/goleveldb-100000-100-16-40/iteration-fast-10                                   522983         522985         +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/iteration-slow-10                                   4506669        5495603        +21.94%
BenchmarkMedium/goleveldb-100000-100-16-40/update-10                                           410            516            +25.85%
BenchmarkMedium/goleveldb-100000-100-16-40/block-10                                            49995          64342          +28.70%
BenchmarkMedium/pebbledb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                   3              3              +0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                   8              15             +87.50%
BenchmarkMedium/pebbledb-100000-100-16-40/query-hits-fast-10                                   0              0              +0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/query-hits-slow-10                                   12             22             +83.33%
BenchmarkMedium/pebbledb-100000-100-16-40/iteration-fast-10                                    500000         500000         +0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/iteration-slow-10                                    1600114        2999729        +87.47%
BenchmarkMedium/pebbledb-100000-100-16-40/update-10                                            294            410            +39.46%
BenchmarkMedium/pebbledb-100000-100-16-40/block-10                                             31376          49790          +58.69%
BenchmarkLarge/memdb-1000000-100-16-40/query-no-in-tree-guarantee-fast-10                      3              3              +0.00%
BenchmarkLarge/memdb-1000000-100-16-40/query-no-in-tree-guarantee-slow-10                      10             19             +90.00%
BenchmarkLarge/memdb-1000000-100-16-40/query-hits-fast-10                                      4              4              +0.00%
BenchmarkLarge/memdb-1000000-100-16-40/query-hits-slow-10                                      11             21             +90.91%
BenchmarkLarge/memdb-1000000-100-16-40/iteration-fast-10                                       3999990        3999974        -0.00%
BenchmarkLarge/memdb-1000000-100-16-40/iteration-slow-10                                       11784324       23792587       +101.90%
BenchmarkLarge/memdb-1000000-100-16-40/update-10                                               419            581            +38.66%
BenchmarkLarge/memdb-1000000-100-16-40/block-10                                                45004          67797          +50.65%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-no-in-tree-guarantee-fast-10                  19             19             +0.00%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-no-in-tree-guarantee-slow-10                  44             56             +27.27%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-hits-fast-10                                  19             19             +0.00%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-hits-slow-10                                  42             57             +35.71%
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-fast-10                                   5311982        5311964        -0.00%
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-slow-10                                   35337631       46902871       +32.73%
BenchmarkLarge/goleveldb-1000000-100-16-40/update-10                                           649            722            +11.25%
BenchmarkLarge/goleveldb-1000000-100-16-40/block-10                                            90273          99199          +9.89%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        15             15             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        23             29             +26.09%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        32             42             +31.25%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         274171         274171         +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         2185593        2765022        +26.51%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 406            518            +27.59%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  52330          63411          +21.18%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       19             19             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       25             31             +24.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       35             45             +28.57%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        437913         437912         -0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        2369819        2885159        +21.75%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                497            536            +7.85%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 76495          77633          +1.49%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      25             25             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      29             37             +27.59%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      42             51             +21.43%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       708362         708114         -0.04%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       2409254        3120918        +29.54%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               640            705            +10.16%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                164008         92113          -43.84%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     50             48             -4.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     206            253            +22.82%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     194            202            +4.12%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      1018527        1004036        -1.42%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      5630281        3931333        -30.18%
